period start,updates/m,creations/m,sales/m,deletions/m
2026-06-29 18:00:00+00,90.2000000000000000,53.8000000000000000,238.6000000000000000,65.4000000000000000
2026-06-29 18:05:00+00,77.4000000000000000,73.0000000000000000,279.2000000000000000,59.4000000000000000
2026-06-29 18:10:00+00,94.2000000000000000,75.8000000000000000,320.0000000000000000,98.8000000000000000
2026-06-29 18:15:00+00,82.4000000000000000,78.4000000000000000,294.8000000000000000,88.0000000000000000
2026-06-29 18:20:00+00,119.0000000000000000,96.2000000000000000,281.4000000000000000,78.6000000000000000
2026-06-29 18:25:00+00,90.2000000000000000,98.6000000000000000,291.2000000000000000,76.6000000000000000
2026-06-29 18:30:00+00,118.2000000000000000,77.2000000000000000,304.2000000000000000,83.2000000000000000
2026-06-29 18:35:00+00,93.6000000000000000,83.4000000000000000,266.6000000000000000,74.4000000000000000
2026-06-29 18:40:00+00,108.2000000000000000,80.2000000000000000,280.2000000000000000,83.8000000000000000
2026-06-29 18:45:00+00,99.8000000000000000,71.2000000000000000,258.2000000000000000,75.2000000000000000
2026-06-29 18:50:00+00,74.6000000000000000,90.8000000000000000,294.2000000000000000,57.0000000000000000
2026-06-29 18:55:00+00,92.6000000000000000,78.0000000000000000,307.2000000000000000,87.4000000000000000
2026-06-29 19:00:00+00,116.8000000000000000,57.2000000000000000,314.0000000000000000,68.2000000000000000
2026-06-29 19:05:00+00,94.0000000000000000,60.0000000000000000,305.8000000000000000,80.4000000000000000
2026-06-29 19:10:00+00,93.8000000000000000,62.0000000000000000,257.0000000000000000,61.8000000000000000
2026-06-29 19:15:00+00,107.4000000000000000,60.6000000000000000,331.0000000000000000,69.0000000000000000
2026-06-29 19:20:00+00,88.0000000000000000,62.0000000000000000,256.4000000000000000,83.2000000000000000
2026-06-29 19:25:00+00,72.8000000000000000,64.2000000000000000,343.4000000000000000,64.0000000000000000
2026-06-29 19:30:00+00,80.6000000000000000,77.6000000000000000,229.6000000000000000,73.4000000000000000
2026-06-29 19:35:00+00,87.8000000000000000,77.4000000000000000,321.2000000000000000,78.2000000000000000
2026-06-29 19:40:00+00,85.8000000000000000,79.2000000000000000,250.2000000000000000,67.2000000000000000
2026-06-29 19:45:00+00,96.4000000000000000,77.6000000000000000,259.6000000000000000,79.0000000000000000
2026-06-29 19:50:00+00,105.6000000000000000,66.4000000000000000,230.8000000000000000,79.6000000000000000
2026-06-29 19:55:00+00,107.4000000000000000,67.6000000000000000,267.2000000000000000,73.8000000000000000
2026-06-29 20:00:00+00,115.8000000000000000,86.6000000000000000,347.0000000000000000,93.4000000000000000
2026-06-29 20:05:00+00,143.2000000000000000,69.0000000000000000,322.8000000000000000,85.6000000000000000
2026-06-29 20:10:00+00,125.6000000000000000,53.0000000000000000,277.0000000000000000,90.0000000000000000
2026-06-29 20:15:00+00,115.4000000000000000,85.2000000000000000,350.0000000000000000,95.8000000000000000
2026-06-29 20:20:00+00,108.2000000000000000,85.0000000000000000,298.4000000000000000,73.8000000000000000
2026-06-29 20:25:00+00,109.8000000000000000,58.0000000000000000,321.2000000000000000,78.4000000000000000
2026-06-29 20:30:00+00,100.4000000000000000,58.8000000000000000,253.4000000000000000,65.4000000000000000
2026-06-29 20:35:00+00,89.0000000000000000,69.4000000000000000,278.6000000000000000,76.6000000000000000
2026-06-29 20:40:00+00,112.6000000000000000,61.4000000000000000,320.6000000000000000,66.4000000000000000
2026-06-29 20:45:00+00,114.4000000000000000,76.4000000000000000,243.8000000000000000,77.6000000000000000
2026-06-29 20:50:00+00,91.8000000000000000,78.2000000000000000,281.0000000000000000,78.4000000000000000
2026-06-29 20:55:00+00,80.6000000000000000,78.4000000000000000,283.8000000000000000,71.8000000000000000
2026-06-29 21:00:00+00,77.0000000000000000,92.0000000000000000,199.0000000000000000,69.2000000000000000
2026-06-29 21:05:00+00,71.2000000000000000,79.8000000000000000,233.6000000000000000,94.6000000000000000
2026-06-29 21:10:00+00,55.4000000000000000,75.2000000000000000,258.2000000000000000,77.6000000000000000
2026-06-29 21:15:00+00,77.2000000000000000,58.0000000000000000,264.4000000000000000,74.4000000000000000
2026-06-29 21:20:00+00,73.4000000000000000,59.4000000000000000,284.8000000000000000,87.0000000000000000
2026-06-29 21:25:00+00,88.6000000000000000,70.6000000000000000,285.6000000000000000,68.8000000000000000
2026-06-29 21:30:00+00,74.8000000000000000,63.2000000000000000,275.6000000000000000,68.4000000000000000
2026-06-29 21:35:00+00,84.4000000000000000,64.2000000000000000,240.4000000000000000,96.2000000000000000
2026-06-29 21:40:00+00,68.6000000000000000,60.4000000000000000,249.4000000000000000,60.2000000000000000
2026-06-29 21:45:00+00,72.2000000000000000,54.6000000000000000,291.8000000000000000,55.8000000000000000
2026-06-29 21:50:00+00,81.0000000000000000,68.4000000000000000,269.8000000000000000,76.0000000000000000
2026-06-29 21:55:00+00,65.0000000000000000,66.0000000000000000,272.6000000000000000,58.2000000000000000
2026-06-29 22:00:00+00,71.2000000000000000,54.0000000000000000,259.6000000000000000,52.0000000000000000
2026-06-29 22:05:00+00,73.2000000000000000,65.6000000000000000,278.2000000000000000,82.8000000000000000
2026-06-29 22:10:00+00,65.6000000000000000,68.8000000000000000,232.0000000000000000,58.0000000000000000
2026-06-29 22:15:00+00,66.6000000000000000,77.8000000000000000,279.4000000000000000,66.2000000000000000
2026-06-29 22:20:00+00,66.2000000000000000,83.4000000000000000,208.0000000000000000,50.8000000000000000
2026-06-29 22:25:00+00,64.4000000000000000,55.0000000000000000,200.6000000000000000,46.0000000000000000
2026-06-29 22:30:00+00,77.4000000000000000,66.0000000000000000,221.0000000000000000,68.6000000000000000
2026-06-29 22:35:00+00,75.2000000000000000,55.2000000000000000,217.6000000000000000,47.2000000000000000
2026-06-29 22:40:00+00,44.0000000000000000,51.0000000000000000,173.0000000000000000,46.4000000000000000
2026-06-29 22:45:00+00,39.8000000000000000,51.6000000000000000,260.0000000000000000,57.2000000000000000
2026-06-29 22:50:00+00,59.0000000000000000,55.0000000000000000,228.2000000000000000,58.8000000000000000
2026-06-29 22:55:00+00,64.6000000000000000,57.8000000000000000,210.8000000000000000,44.6000000000000000
2026-06-29 23:00:00+00,65.2000000000000000,47.6000000000000000,226.6000000000000000,47.2000000000000000
