period start,updates/m,creations/m,sales/m
2026-04-26 19:40:00+00,94.0000000000000000,73.6000000000000000,365.4000000000000000
2026-04-26 19:45:00+00,103.4000000000000000,105.0000000000000000,352.0000000000000000
2026-04-26 19:50:00+00,111.6000000000000000,108.6000000000000000,317.2000000000000000
2026-04-26 19:55:00+00,87.4000000000000000,104.6000000000000000,343.6000000000000000
2026-04-26 20:00:00+00,101.8000000000000000,94.0000000000000000,302.2000000000000000
2026-04-26 20:05:00+00,114.6000000000000000,102.4000000000000000,303.8000000000000000
2026-04-26 20:10:00+00,107.8000000000000000,107.4000000000000000,264.2000000000000000
2026-04-26 20:15:00+00,123.6000000000000000,98.4000000000000000,368.8000000000000000
2026-04-26 20:20:00+00,127.0000000000000000,69.2000000000000000,373.2000000000000000
2026-04-26 20:25:00+00,104.6000000000000000,71.6000000000000000,294.4000000000000000
2026-04-26 20:30:00+00,84.8000000000000000,63.2000000000000000,302.0000000000000000
2026-04-26 20:35:00+00,88.2000000000000000,62.8000000000000000,353.0000000000000000
2026-04-26 20:40:00+00,92.4000000000000000,68.2000000000000000,327.6000000000000000
2026-04-26 20:45:00+00,83.6000000000000000,90.4000000000000000,335.2000000000000000
2026-04-26 20:50:00+00,84.6000000000000000,77.6000000000000000,277.6000000000000000
2026-04-26 20:55:00+00,98.8000000000000000,82.4000000000000000,313.6000000000000000
2026-04-26 21:00:00+00,98.6000000000000000,93.2000000000000000,314.2000000000000000
2026-04-26 21:05:00+00,110.4000000000000000,85.0000000000000000,343.4000000000000000
2026-04-26 21:10:00+00,113.8000000000000000,90.0000000000000000,390.2000000000000000
2026-04-26 21:15:00+00,105.8000000000000000,90.6000000000000000,339.8000000000000000
2026-04-26 21:20:00+00,105.6000000000000000,72.0000000000000000,248.6000000000000000
2026-04-26 21:25:00+00,92.8000000000000000,97.6000000000000000,324.8000000000000000
2026-04-26 21:30:00+00,106.0000000000000000,81.4000000000000000,295.0000000000000000
2026-04-26 21:35:00+00,83.6000000000000000,52.6000000000000000,222.0000000000000000
2026-04-26 21:40:00+00,89.6000000000000000,77.6000000000000000,228.0000000000000000
2026-04-26 21:45:00+00,94.0000000000000000,85.8000000000000000,213.6000000000000000
2026-04-26 21:50:00+00,85.4000000000000000,81.4000000000000000,226.2000000000000000
2026-04-26 21:55:00+00,107.0000000000000000,94.0000000000000000,227.8000000000000000
2026-04-26 22:00:00+00,93.6000000000000000,72.8000000000000000,234.6000000000000000
2026-04-26 22:05:00+00,92.0000000000000000,57.4000000000000000,372.6000000000000000
2026-04-26 22:10:00+00,91.8000000000000000,78.0000000000000000,239.8000000000000000
2026-04-26 22:15:00+00,73.8000000000000000,56.4000000000000000,290.4000000000000000
2026-04-26 22:20:00+00,67.0000000000000000,60.8000000000000000,240.2000000000000000
2026-04-26 22:25:00+00,61.8000000000000000,48.2000000000000000,239.6000000000000000
2026-04-26 22:30:00+00,78.8000000000000000,57.0000000000000000,205.6000000000000000
2026-04-26 22:35:00+00,62.6000000000000000,46.0000000000000000,234.8000000000000000
2026-04-26 22:40:00+00,69.0000000000000000,49.8000000000000000,203.8000000000000000
2026-04-26 22:45:00+00,73.4000000000000000,61.6000000000000000,202.2000000000000000
2026-04-26 22:50:00+00,96.0000000000000000,61.6000000000000000,256.2000000000000000
2026-04-26 22:55:00+00,75.6000000000000000,55.0000000000000000,275.8000000000000000
2026-04-26 23:00:00+00,58.0000000000000000,43.2000000000000000,229.6000000000000000
2026-04-26 23:05:00+00,61.8000000000000000,52.0000000000000000,235.6000000000000000
2026-04-26 23:10:00+00,53.2000000000000000,50.0000000000000000,269.4000000000000000
2026-04-26 23:15:00+00,49.2000000000000000,39.0000000000000000,190.6000000000000000
2026-04-26 23:20:00+00,69.4000000000000000,38.0000000000000000,275.4000000000000000
2026-04-26 23:25:00+00,88.8000000000000000,56.2000000000000000,233.6000000000000000
2026-04-26 23:30:00+00,73.2000000000000000,53.6000000000000000,284.0000000000000000
2026-04-26 23:35:00+00,68.4000000000000000,47.6000000000000000,246.6000000000000000
2026-04-26 23:40:00+00,90.2000000000000000,53.6000000000000000,197.8000000000000000
2026-04-26 23:45:00+00,82.2000000000000000,53.6000000000000000,221.6000000000000000
2026-04-26 23:50:00+00,86.4000000000000000,47.6000000000000000,211.0000000000000000
2026-04-26 23:55:00+00,60.6000000000000000,52.0000000000000000,159.6000000000000000
2026-04-27 00:00:00+00,60.4000000000000000,54.4000000000000000,170.0000000000000000
2026-04-27 00:05:00+00,61.6000000000000000,54.2000000000000000,193.2000000000000000
2026-04-27 00:10:00+00,74.8000000000000000,35.6000000000000000,181.6000000000000000
2026-04-27 00:15:00+00,60.6000000000000000,42.4000000000000000,230.6000000000000000
2026-04-27 00:20:00+00,55.6000000000000000,41.2000000000000000,193.6000000000000000
2026-04-27 00:25:00+00,78.2000000000000000,43.0000000000000000,232.4000000000000000
2026-04-27 00:30:00+00,77.2000000000000000,43.0000000000000000,192.0000000000000000
2026-04-27 00:35:00+00,58.8000000000000000,62.6000000000000000,248.2000000000000000
2026-04-27 00:40:00+00,48.0000000000000000,55.2000000000000000,231.6000000000000000
2026-04-27 00:45:00+00,46.2000000000000000,57.6000000000000000,196.4000000000000000
2026-04-27 00:50:00+00,39.4000000000000000,45.2000000000000000,180.6000000000000000
2026-04-27 00:55:00+00,48.0000000000000000,49.8000000000000000,151.8000000000000000
2026-04-27 01:00:00+00,55.6000000000000000,42.8000000000000000,179.2000000000000000
2026-04-27 01:05:00+00,62.8000000000000000,39.6000000000000000,195.0000000000000000
2026-04-27 01:10:00+00,73.4000000000000000,40.6000000000000000,208.0000000000000000
2026-04-27 01:15:00+00,62.8000000000000000,44.4000000000000000,169.8000000000000000
2026-04-27 01:20:00+00,64.2000000000000000,35.6000000000000000,185.6000000000000000
2026-04-27 01:25:00+00,59.6000000000000000,37.0000000000000000,233.4000000000000000
2026-04-27 01:30:00+00,64.2000000000000000,55.0000000000000000,183.6000000000000000
2026-04-27 01:35:00+00,59.8000000000000000,50.4000000000000000,181.4000000000000000
2026-04-27 01:40:00+00,52.6000000000000000,34.6000000000000000,197.6000000000000000
2026-04-27 01:45:00+00,46.2000000000000000,37.6000000000000000,187.0000000000000000
2026-04-27 01:50:00+00,52.8000000000000000,51.8000000000000000,162.6000000000000000
2026-04-27 01:55:00+00,60.0000000000000000,40.4000000000000000,241.2000000000000000
2026-04-27 02:00:00+00,55.4000000000000000,46.0000000000000000,200.0000000000000000
2026-04-27 02:05:00+00,44.2000000000000000,34.4000000000000000,182.2000000000000000
2026-04-27 02:10:00+00,48.0000000000000000,48.8000000000000000,153.4000000000000000
2026-04-27 02:15:00+00,49.2000000000000000,57.8000000000000000,203.8000000000000000
2026-04-27 02:20:00+00,59.4000000000000000,34.0000000000000000,230.8000000000000000
2026-04-27 02:25:00+00,47.8000000000000000,32.8000000000000000,169.4000000000000000
2026-04-27 02:30:00+00,40.0000000000000000,34.6000000000000000,147.0000000000000000
2026-04-27 02:35:00+00,55.0000000000000000,40.4000000000000000,162.4000000000000000
2026-04-27 02:40:00+00,62.2000000000000000,36.8000000000000000,182.8000000000000000
2026-04-27 02:45:00+00,61.6000000000000000,46.2000000000000000,173.4000000000000000
2026-04-27 02:50:00+00,46.6000000000000000,49.4000000000000000,161.4000000000000000
2026-04-27 02:55:00+00,51.6000000000000000,33.4000000000000000,198.6000000000000000
2026-04-27 03:00:00+00,46.6000000000000000,62.6000000000000000,199.0000000000000000
2026-04-27 03:05:00+00,41.2000000000000000,41.8000000000000000,157.8000000000000000
2026-04-27 03:10:00+00,38.2000000000000000,42.6000000000000000,184.8000000000000000
