"period start","updates/m","creations/m","sales/m","deletions/m","total/m"
"2026-04-19 13:10:00+00",149.4000000000000000,110.0000000000000000,279.4000000000000000,80.8000000000000000,619.6000000000000000
"2026-04-19 13:15:00+00",157.0000000000000000,96.4000000000000000,331.8000000000000000,70.2000000000000000,655.4000000000000000
"2026-04-19 13:20:00+00",156.4000000000000000,74.4000000000000000,292.0000000000000000,76.2000000000000000,599.0000000000000000
"2026-04-19 13:25:00+00",136.2000000000000000,64.4000000000000000,339.0000000000000000,83.2000000000000000,622.8000000000000000
"2026-04-19 13:30:00+00",154.0000000000000000,65.6000000000000000,315.6000000000000000,74.8000000000000000,610.0000000000000000
"2026-04-19 13:35:00+00",166.0000000000000000,100.8000000000000000,311.8000000000000000,77.2000000000000000,655.8000000000000000
"2026-04-19 13:40:00+00",150.2000000000000000,86.8000000000000000,338.4000000000000000,86.8000000000000000,662.2000000000000000
"2026-04-19 13:45:00+00",166.0000000000000000,86.6000000000000000,358.2000000000000000,106.6000000000000000,717.4000000000000000
"2026-04-19 13:50:00+00",148.6000000000000000,102.2000000000000000,305.4000000000000000,103.4000000000000000,659.6000000000000000
"2026-04-19 13:55:00+00",146.0000000000000000,101.4000000000000000,311.0000000000000000,96.4000000000000000,654.8000000000000000
"2026-04-19 14:00:00+00",181.2000000000000000,91.0000000000000000,271.8000000000000000,74.4000000000000000,618.4000000000000000
"2026-04-19 14:05:00+00",190.0000000000000000,87.8000000000000000,326.2000000000000000,71.6000000000000000,675.6000000000000000
"2026-04-19 14:10:00+00",143.8000000000000000,84.2000000000000000,435.8000000000000000,97.8000000000000000,761.6000000000000000
"2026-04-19 14:15:00+00",140.2000000000000000,97.6000000000000000,367.0000000000000000,92.2000000000000000,697.0000000000000000
"2026-04-19 14:20:00+00",147.8000000000000000,106.8000000000000000,463.6000000000000000,92.2000000000000000,810.4000000000000000
"2026-04-19 14:25:00+00",179.4000000000000000,92.2000000000000000,349.6000000000000000,111.2000000000000000,732.4000000000000000
"2026-04-19 14:30:00+00",153.4000000000000000,109.4000000000000000,374.6000000000000000,114.2000000000000000,751.6000000000000000
"2026-04-19 14:35:00+00",133.8000000000000000,111.8000000000000000,350.4000000000000000,118.8000000000000000,714.8000000000000000
"2026-04-19 14:40:00+00",121.4000000000000000,116.2000000000000000,356.4000000000000000,94.2000000000000000,688.2000000000000000
"2026-04-19 14:45:00+00",125.8000000000000000,80.8000000000000000,309.6000000000000000,164.2000000000000000,680.4000000000000000
"2026-04-19 14:50:00+00",129.6000000000000000,114.4000000000000000,359.4000000000000000,104.4000000000000000,707.8000000000000000
"2026-04-19 14:55:00+00",118.2000000000000000,107.6000000000000000,321.2000000000000000,90.8000000000000000,637.8000000000000000
"2026-04-19 15:00:00+00",112.2000000000000000,107.8000000000000000,326.8000000000000000,75.0000000000000000,621.8000000000000000
"2026-04-19 15:05:00+00",152.4000000000000000,113.6000000000000000,356.6000000000000000,92.4000000000000000,715.0000000000000000
"2026-04-19 15:10:00+00",133.6000000000000000,84.0000000000000000,338.6000000000000000,103.8000000000000000,660.0000000000000000
"2026-04-19 15:15:00+00",128.8000000000000000,102.4000000000000000,364.8000000000000000,100.6000000000000000,696.6000000000000000
"2026-04-19 15:20:00+00",143.8000000000000000,100.6000000000000000,373.8000000000000000,87.8000000000000000,706.0000000000000000
"2026-04-19 15:25:00+00",129.2000000000000000,77.4000000000000000,278.0000000000000000,79.8000000000000000,564.4000000000000000
"2026-04-19 15:30:00+00",119.8000000000000000,85.4000000000000000,348.6000000000000000,82.2000000000000000,636.0000000000000000
"2026-04-19 15:35:00+00",141.8000000000000000,113.0000000000000000,331.2000000000000000,95.2000000000000000,681.2000000000000000
"2026-04-19 15:40:00+00",140.0000000000000000,90.2000000000000000,309.6000000000000000,106.0000000000000000,645.8000000000000000
"2026-04-19 15:45:00+00",124.2000000000000000,107.6000000000000000,338.6000000000000000,83.6000000000000000,654.0000000000000000
"2026-04-19 15:50:00+00",127.6000000000000000,107.2000000000000000,308.6000000000000000,81.8000000000000000,625.2000000000000000
"2026-04-19 15:55:00+00",121.8000000000000000,97.0000000000000000,328.8000000000000000,84.4000000000000000,632.0000000000000000
"2026-04-19 16:00:00+00",136.6000000000000000,115.4000000000000000,301.8000000000000000,78.4000000000000000,632.2000000000000000
"2026-04-19 16:05:00+00",146.2000000000000000,97.6000000000000000,316.0000000000000000,75.8000000000000000,635.6000000000000000
"2026-04-19 16:10:00+00",130.6000000000000000,105.0000000000000000,293.2000000000000000,85.8000000000000000,614.6000000000000000
"2026-04-19 16:15:00+00",145.8000000000000000,79.4000000000000000,339.2000000000000000,102.8000000000000000,667.2000000000000000
"2026-04-19 16:20:00+00",148.0000000000000000,104.2000000000000000,311.0000000000000000,82.2000000000000000,645.4000000000000000
"2026-04-19 16:25:00+00",154.2000000000000000,100.0000000000000000,297.0000000000000000,87.0000000000000000,638.2000000000000000
"2026-04-19 16:30:00+00",126.6000000000000000,75.0000000000000000,341.2000000000000000,87.4000000000000000,630.2000000000000000
"2026-04-19 16:35:00+00",97.8000000000000000,68.8000000000000000,263.8000000000000000,79.4000000000000000,509.8000000000000000
"2026-04-19 16:40:00+00",117.2000000000000000,78.2000000000000000,307.6000000000000000,71.4000000000000000,574.4000000000000000
"2026-04-19 16:45:00+00",138.0000000000000000,95.4000000000000000,368.8000000000000000,99.2000000000000000,701.4000000000000000
"2026-04-19 16:50:00+00",132.4000000000000000,90.2000000000000000,351.8000000000000000,92.0000000000000000,666.4000000000000000
