"type_id","name","daily_upd","daily_creat","update_pct"
27190,"Poteque 'Prospector' Astrometric Pinpointing AP-610","   15.38","    4.00","  79.35"
13955,"Domination Large Armor Repairer","   27.38","    7.13","  79.35"
92463,"Meganeura TP-900-I","   23.00","    6.00","  79.31"
31798,"Capital Core Defense Field Extender II","   16.63","    4.38","  79.17"
17212,"Sansha Brass Tag","   18.50","    4.88","  79.14"
4248,"Warp Disruption Field Generator II","   22.25","    5.88","  79.11"
11536,"Ladar Sensor Cluster","   15.13","    4.00","  79.08"
18768,"Coreli C-Type Multispectrum Coating","   19.38","    5.13","  79.08"
21478,"50MN Digital Booster Microwarpdrive","   17.00","    4.50","  79.07"
11532,"Fusion Thruster","   17.00","    4.50","  79.07"
24525,"Inferno Javelin Torpedo","   23.13","    6.13","  79.06"
52242,"Zorya's Entropic Radiation Sink","   33.50","    8.88","  79.06"
25274,"Viridian Cytoserocin","   14.63","    3.88","  79.05"
85390,"Armor Mutaplasmid Residue","   22.63","    6.00","  79.04"
28974,"Vaccines","   14.13","    3.75","  79.02"
62624,"Medium Gas Compressor I","   22.13","    5.88","  79.02"
92035,"Arabellata SW-900-I","   48.75","   13.00","  78.95"
52240,"Zorya's Supratidal Entropic Disintegrator","   30.00","    8.00","  78.95"
18684,"Core C-Type 100MN Afterburner","   14.50","    3.88","  78.91"
43896,"Medium Command Processor I","   26.63","    7.13","  78.89"
16664,"Solerium","   15.88","    4.25","  78.88"
57124,"High-grade Rapture Beta","   14.00","    3.75","  78.87"
57120,"Mid-grade Rapture Delta","   13.50","    3.63","  78.83"
11174,"Keres","   32.00","    8.63","  78.77"
92468,"Immaculate TD-600-I","   36.63","    9.88","  78.76"
31061,"Capital Trimark Armor Pump II","   37.00","   10.00","  78.72"
89512,"Maelstrom Hrada-Oki Offender SKIN","   19.88","    5.38","  78.71"
28437,"Compressed Gelidus","   18.00","    4.88","  78.69"
34593,"Entosis Link I","   43.25","   11.75","  78.64"
13248,"Zainou 'Deadeye' Missile Projection MP-703","   21.63","    5.88","  78.64"
34595,"Entosis Link II","   46.13","   12.63","  78.51"
20599,"'Undertaker' Heavy Missile Launcher","   21.38","    5.88","  78.44"
78333,"Mekubal","   20.00","    5.50","  78.43"
27373,"Guristas Mjolnir Cruise Missile","   39.50","   10.88","  78.41"
19119,"Corpus X-Type Heavy Energy Nosferatu","   39.38","   10.88","  78.36"
52916,"Baryon Exotic Plasma XL","   22.63","    6.25","  78.35"
37546,"Guidance Disruptor II","   41.63","   11.50","  78.35"
25273,"Golden Cytoserocin","   46.13","   12.75","  78.34"
28850,"Ark","   21.25","    5.88","  78.34"
41491,"Capital Capacitor Booster I","   17.63","    4.88","  78.33"
48426,"Unstable Heavy Energy Nosferatu Mutaplasmid","   33.88","    9.38","  78.32"
15764,"Federation Navy 50MN Microwarpdrive","   28.88","    8.00","  78.31"
28744,"Thukker Large Shield Extender","   85.75","   23.88","  78.22"
40350,"25000mm Rolled Tungsten Compact Plates","   41.75","   11.63","  78.22"
33842,"Federation Navy Drone Damage Amplifier","   45.75","   12.75","  78.21"
23174,"Takmahl Fractal Sheet","   22.88","    6.38","  78.21"
19039,"Corpus C-Type Large Armor Repairer","   13.00","    3.63","  78.20"
3084,"Zainou 'Gnome' Shield Management SM-706","   40.13","   11.25","  78.10"
31017,"Medium Explosive Armor Reinforcer II","   38.75","   10.88","  78.09"
32246,"RSS Core Scanner Probe","   37.38","   10.50","  78.07"
31668,"Small Projectile Burst Aerator I","   15.13","    4.25","  78.06"
54403,"Mid-grade Hydra Omega","   19.13","    5.38","  78.06"
17838,"Federation Navy Thermal Armor Hardener","   20.00","    5.63","  78.05"
27184,"Zainou 'Beancounter' Science SC-805","   22.13","    6.25","  77.97"
47751,"Unstable 10MN Afterburner Mutaplasmid","   68.50","   19.38","  77.95"
3962,"Customs Office Gantry","   15.00","    4.25","  77.92"
19111,"Corpum A-Type Medium Energy Nosferatu","   32.63","    9.25","  77.91"
41030,"'Excavator' Mining Drone","   31.25","    8.88","  77.88"
92034,"Huntsman SW-600-I","   50.13","   14.25","  77.86"
20060,"Amarr Control Tower Small","   13.63","    3.88","  77.86"
22611,"Elara Restrained Mining Laser Upgrade","   32.38","    9.25","  77.78"
91570,"Pioneer GalNet StreamCast Unit SKIN","   30.63","    8.75","  77.78"
197,"Depleted Uranium L","   30.63","    8.75","  77.78"
30615,"Malfunctioning Armor Nanobot","   13.13","    3.75","  77.78"
47831,"Gravid Heavy Energy Neutralizer Mutaplasmid","   26.63","    7.63","  77.74"
16663,"Caesarium Cadmide","   21.38","    6.13","  77.73"
14158,"True Sansha Medium Energy Nosferatu","   20.50","    5.88","  77.73"
48744,"'Subverted' JVN-UC49","   12.63","    3.63","  77.69"
19149,"Pithum B-Type Medium Remote Shield Booster","   62.63","   18.00","  77.67"
92462,"Darter TP-600-I","   40.75","   11.75","  77.62"
47744,"Gravid 500MN Microwarpdrive Mutaplasmid","   32.88","    9.50","  77.58"
15768,"Federation Navy 500MN Microwarpdrive","   21.63","    6.25","  77.58"
18807,"Corelum C-Type Thermal Energized Membrane","   29.75","    8.63","  77.52"
18686,"Coreli B-Type 1MN Afterburner","   21.13","    6.13","  77.52"
23868,"'Warhammer' Large EMP Smartbomb","   15.50","    4.50","  77.50"
31818,"Medium Core Defense Operational Solidifier I","   15.50","    4.50","  77.50"
92040,"Nertic EC-600-I","   48.63","   14.13","  77.49"
18813,"Corelum B-Type Explosive Energized Membrane","   22.38","    6.50","  77.49"
81144,"Superionic Ice","   24.50","    7.13","  77.47"
23149,"Blood Raider Regular Ballistic Control","   21.00","    6.13","  77.42"
23563,"Bouncer I","   17.13","    5.00","  77.40"
13260,"Inherent Implants 'Squire' Capacitor Systems Operation EO-603","   30.38","    8.88","  77.39"
34414,"Small Malfunctioning Hull Section","   21.38","    6.25","  77.38"
62568,"Compressed Arkonor","   38.00","   11.13","  77.35"
42528,"Mining Foreman Burst I","   21.25","    6.25","  77.27"
41525,"Capital Flex Armor Hardener II","   25.00","    7.38","  77.22"
1964,"Remote Sensor Booster II","   26.25","    7.75","  77.21"
3993,"Large EMP Smartbomb I","   14.38","    4.25","  77.18"
22613,"'Carpo' Mining Laser Upgrade","   24.88","    7.38","  77.13"
12765,"Tremor L","   21.00","    6.25","  77.06"
9846,"Planetary Vehicles","   23.50","    7.00","  77.05"
4256,"Bomb Launcher II","   14.25","    4.25","  77.03"
26902,"Fedo","   14.63","    4.38","  76.97"
31640,"Medium Warhead Flare Catalyst II","   17.50","    5.25","  76.92"
3608,"Large Remote Shield Booster II","   43.63","   13.13","  76.87"
31244,"Small Memetic Algorithm Bank II","   14.13","    4.25","  76.87"
49712,"Rodiva","   21.13","    6.38","  76.82"
47826,"Unstable Medium Energy Neutralizer Mutaplasmid","   41.00","   12.38","  76.81"
21025,"Capital Jump Drive","   17.38","    5.25","  76.80"
2571,"Gravimetric ECM II","  107.75","   32.63","  76.76"
40571,"Dromi II","   21.75","    6.63","  76.65"
62559,"Compressed Dark Ochre IV-Grade","   20.50","    6.25","  76.64"
18859,"Centum B-Type Explosive Energized Membrane","   25.38","    7.75","  76.60"
92461,"Skimmer TP-300-I","   64.25","   19.63","  76.60"
32309,"Scorpion Navy Issue","   26.13","    8.00","  76.56"
90471,"Unstable Modulated Deep Core Miner Mutaplasmid","   31.00","    9.50","  76.54"
42832,"Armor Energizing Charge","   22.00","    6.75","  76.52"
57458,"Meta-Operant Neurolink Enhancer","   12.63","    3.88","  76.52"
18841,"Corpum C-Type EM Energized Membrane","   19.13","    5.88","  76.50"
52224,"Decayed Damage Control Mutaplasmid","   17.88","    5.50","  76.47"
28298,"'Integrated' Vespa","   21.50","    6.63","  76.44"
82300,"Compressed Kylixium","   18.25","    5.63","  76.44"
11549,"Antimatter Reactor Unit","   30.38","    9.38","  76.42"
2559,"Ladar ECM II","   94.25","   29.13","  76.39"
